transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,btlNckRate,dur,size,rate
108,77.6453,19.7646544036,582.716049383,7.540625,100.0,4.32478818283,614.628318584,5.65486725664,1000,300.10,7.27,208
234,100.0,26.1357859532,1092.45714286,2.03333333333,100.0,9.95613712375,525.52739726,6.89109589041,121.445374534,300.32,4.06,116
142,89.5010666667,20.2104459309,683.605263158,4.89910714286,100.0,39.316148272,418.219101124,23.002247191,186.321165777,300.03,6.22,178
110,78.5368,21.0188405797,596.559748428,7.5880239521,100.0,7.416393534,615.247706422,5.3376146789,1000,300.01,7.27,208
72,99.9988095238,27.3117703349,576.565789474,5.2904109589,100.0,9.33327777778,475.196261682,14.0663551402,1000,193.15,9.98,444
188,100.0,18.492706243,1011.74193548,1.78620689655,100.0,12.7246488294,409.475409836,10.2032786885,109.19176948,300.26,3.65,104
13,99.99704,41.3349731183,434.237288136,9.67543859649,100.0,22.2232795699,417.5,28.7662162162,1000,116.07,10.0,740
85,99.998576779,24.7028195489,589.827160494,4.64430379747,100.0,9.99515037594,495.559055118,10.8527559055,1000,245.57,10.0,350
160,92.6837666667,25.2763489409,705.47,5.19897959184,100.0,35.038277592,417.625698324,23.3279329609,263.278863562,300.18,8.80,252
21,100.0,25.4760291439,467.052631579,7.07972972973,100.0,27.7301821494,416.972477064,24.5963302752,1000,175.35,10.0,490
1,10.9951020408,58.9736426117,347.753846154,12.0634920635,100.0,32.5057731959,420.327586207,28.925862069,1000,98.02,10.0,876
167,95.8630666667,17.3954013378,721.051020408,3.20520833333,100.0,40.8503790412,416.961325967,21.2143646409,95.4807578765,300.07,3.19,91.3
141,90.2911333333,15.1354347826,679.131147541,4.2875,100.0,35.5958138239,418.927777778,20.2694444444,96.5148777552,300.07,3.22,92.3
225,100.0,25.3550947603,1068.18918919,2.31666666667,100.0,9.8691638796,512.407894737,6.44342105263,120.392067371,300.19,4.02,115
61,42.3648666667,20.6879542921,478.5,11.9638297872,100.0,6.53921962096,516.037037037,9.19407407407,1000,282.73,9.98,303
178,100.0,20.8992753623,836.92,2.54468085106,100.0,17.6646822742,418.071823204,11.8093922652,156.608281814,300.17,5.23,150
70,50.6745333333,19.4440802676,506.761658031,11.2573684211,100.0,7.04605351171,521.630136986,9.00821917808,1000,290.87,9.98,295
53,36.5809543568,24.0606597222,457.746666667,12.2102040816,100.0,12.2349308437,497.888888889,11.9145299145,1000,223.56,10.0,384
27,100.0,24.6804799302,481.730769231,6.825,100.0,29.4929842932,415.442477876,24.2716814159,1000,183.47,10.0,468
15,99.9979508197,41.5757162534,440.068965517,9.01428571429,100.0,28.4493526171,415.722222222,30.0777777778,1000,113.66,10.0,756
34,99.9990118577,20.6271957672,499.1,5.26477272727,100.0,20.8610582011,412.510067114,19.3046979866,1000,243.67,10.0,353
186,100.0,22.2168673356,811.36,2.42340425532,100.0,18.279960981,417.668508287,14.1983425414,155.967469128,300.08,5.21,149
3,13.4222608696,49.1242982456,351.565789474,23.8726315789,100.0,21.1300292398,420.441176471,30.1911764706,1000,106.23,9.99,808
76,99.9995102041,24.4637295082,567.715909091,4.84823529412,100.0,11.0177937158,476.661417323,12.562992126,1000,227.28,9.98,377
99,100.0,18.9104236343,696.295081967,2.84745762712,100.0,9.99148829431,413.722222222,9.69055555556,1000,300.11,5.79,166
245,100.0,23.1368896321,1308.46666667,1.38484848485,100.0,7.39056856187,568.088435374,4.69319727891,108.93458678,300.16,3.64,104
163,94.7831007752,30.9817509728,702.0,9.36097560976,100.0,24.2920557717,419.933774834,21.2456953642,361.910864445,248.21,10.0,346
158,91.6792666667,16.4945652174,704.180952381,3.03689320388,100.0,37.0803455964,415.182320442,20.444198895,96.1582020858,300.13,3.21,92.0
